Предметы:         Математика     Информатика     Физика

Иванова               4               5             4
Петров                5               5             4
Сидорова              3               4             5
Хабибрахманов         2               2             3
Абдулин               4               4             4
Абдулаев              5               5             3
Семенов               3               4             4
Валиулин              2               3             5
Волошина              4               4             4
Немыченков            3               3             5
